Date,AVBLS,HRATE,CPTRA,DIFF
2019-08-28,1.03846713907,76439817.3211,56.5215223792,10183488432900.0
2019-08-29,0.995517387878788,83526952.7019,57.3372246189114,10183488432900.0
2019-08-30,1.0054113,80995832.9230682,55.4237206728,10183488432890.0
2019-08-31,0.874326186747,84033176.6577,58.942276181,10183488432900.0
2019-09-01,0.885620447552447,75959123.8205,60.9054401216385,10685572378000.0
2019-09-02,1.0557643557,79786349.9315495,57.7612977607,10771996663680.0
2019-09-03,1.08815423171,87818532.8106,59.4311303489,10771996663700.0
2019-09-04,1.17799423529412,72825124.7697,56.5856908668939,10771996663700.0
2019-09-05,1.02078255758,88354011.6691656,63.6577647816,10771996663680.0
2019-09-06,1.09143871519,84605659.659,58.7219349244,10771996663700.0
2019-09-07,0.92503502,80321828.7902,62.7413380689339,10771996663700.0
2019-09-08,0.707172129944,94779757.9723776,81.9251101978,10771996663680.0
2019-09-09,1.08986510274,78179913.3557,60.4710385004,10771996663700.0
2019-09-10,0.957443978021978,97457152.2654,69.6237820517503,10771996663700.0
2019-09-11,0.953451777174,98528109.9825847,70.6489862167,10771996663680.0
2019-09-12,0.97985764557,84605659.659,60.9803251938,10771996663700.0
2019-09-13,1.06961826666667,81711974.3616,63.600000824058,10958429712900.0
2019-09-14,0.903661329032,91618125.6260619,67.6138437141,11890594958796.0
2019-09-15,0.86785037415,86889448.1744,70.3762745166,11890594958800.0
2019-09-16,1.05493929447853,96346803.0777,61.214821815812,11890594958800.0
2019-09-17,1.15771241216,87480532.8558527,56.032449328,11890594958796.0
2019-09-18,1.06990544828,102848734.574,62.0440781613,11890594958800.0
2019-09-19,1.10439114189189,87480532.8559,54.1653606781131,11890594958800.0
2019-09-20,1.04026201325,89253786.9002281,57.3134687454,11890594958796.0
2019-09-21,0.884734271084,98120057.1221,62.735513557,11890594958800.0
2019-09-22,0.850795608433735,98120057.1221,66.3300828377716,11890594958800.0
2019-09-23,1.24371952632,67383653.6862649,50.5345401792,11890594958796.0
2019-09-24,1.16361812102,92800294.989,53.0872769256,11890594958800.0
2019-09-25,1.10453433974359,92209210.3075,48.7985164480177,11890594958800.0
2019-09-26,0.970737502924,102155715.0684,50.3094499446,12017674556107.8
2019-09-27,1.0954235,83726816.3184,44.4266876288,12759819404400.0
2019-09-28,0.887235503144653,100852756.02,52.1545880070646,12759819404400.0
2019-09-29,0.899054970588,86263992.570523,48.815277777,12759819404409.0
2019-09-30,1.15052539231,82458228.1924,43.1497755862,12759819404400.0
2019-10-01,1.12006802797203,90704051.0117,45.5094392434382,12759819404400.0
2019-10-02,1.00596792568,93875521.3267456,48.0947311369,12759819404409.0
2019-10-03,1.03809310204,93241227.2637,47.3077938685,12759819404400.0
2019-10-04,1.08692838095238,93241227.2637,45.0705446264621,12759819404400.0
2019-10-05,0.885488658228,100218461.956931,49.6996124011,12759819404409.0
2019-10-06,0.813034281879,94509815.3898,53.2545312983,12759819404400.0
2019-10-07,1.00581012258065,98315579.7679,47.8824281167047,12759819404400.0
2019-10-08,0.966500944444,102755638.209005,50.020110852,12759819404409.0
2019-10-09,1.03239113768,87532580.6966,47.0227841059,12759819404400.0
2019-10-10,0.968209895061729,103681264.293,51.338440016588,12874760266700.0
2019-10-11,1.01707467308,100875176.08461,48.4883278411,13008091666972.0
2019-10-12,0.971500255639,86002553.9696,46.4748599476,13008091667000.0
2019-10-13,0.817165204225352,91822275.6668,53.5597112186838,13008091667000.0
2019-10-14,1.05937131852,87295825.4578357,47.3402249495,13008091666972.0
2019-10-15,0.995947320261,98935268.8522,47.4181091791,13008091667000.0
2019-10-16,1.11676388111888,92468911.4109,43.2339749883066,13008091667000.0
2019-10-17,1.09859798,96995361.6198175,46.2402548337,13008091666972.0
2019-10-18,0.9423605,103461719.061,48.0213891675,13008091667000.0
2019-10-19,0.968948147887323,91822275.6668,46.9692240058046,13008091667000.0
2019-10-20,0.845296609589,94408818.643289,51.4650747772,13008091666972.0
2019-10-21,1.00909333962,102815083.317,46.8686739347,13008091667000.0
2019-10-22,0.95907425443787,109281440.758,51.2399501978676,13008091667000.0
2019-10-23,0.97841152381,109144376.317496,48.5485454719,13069108485875.8
2019-10-24,1.09147323308,90520752.8588,41.4496876158,13691480038700.0
2019-10-25,1.19020037681159,93923788.6806,42.3285572909028,13691480038700.0
2019-10-26,1.22502357857,95285003.0093039,54.8506745247,13691480038694.0
2019-10-27,1.10233194783,78269823.9005,54.1633461897,13691480038700.0
2019-10-28,1.20098594776119,91201360.0232,52.4996292841207,13691480038700.0
2019-10-29,1.15925070677,90520752.8588387,51.6559195515,13691480038694.0
2019-10-30,1.09922310448,91201360.0232,49.8983567957,13691480038700.0
2019-10-31,1.08091862121212,89840145.6945,52.6256601149877,13691480038700.0
2019-11-01,1.24109290769,88478931.3657822,48.3729391425,13691480038694.0
2019-11-02,0.989604156716,91201360.0232,56.231387852,13691480038700.0
2019-11-03,0.969651876811594,93923788.6806,55.6179189679099,13691480038700.0
2019-11-04,1.16507156061,89840145.6944865,51.1410223206,13691480038694.0
2019-11-05,1.13751359722,98007431.6667,52.3194888281,13691480038700.0
2019-11-06,1.27383224242424,89840145.6945,50.109660733284,13691480038700.0
2019-11-07,1.17878198519,91737090.3690835,49.2190917838,13669891710442.8
2019-11-08,1.16553426563,80936306.1161,47.4003359782,12720005267400.0
2019-11-09,1.06281304861111,91053344.3807,52.623101472921,12720005267400.0
2019-11-10,0.829142915663,104964271.994364,62.5177134399,12720005267391.0
