Date,S&P 500 Daily Performance,NASDAQ 100 Daily Performance,1-Year Treasury Bond Rate,5-Year Treasury Bond Rate,10-Year Treasury Bond Rate,30-Year Treasury Bond Rate,Bitcoin Futures Volume,Bitcoin Futures Returns
2022-05-14 00:00:00-04:00,,,0.9430000185966492,2.934999942779541,2.934999942779541,2.934999942779541,,
2022-05-15 00:00:00-04:00,,,0.9430000185966492,2.934999942779541,2.934999942779541,2.934999942779541,,
2022-05-16 00:00:00-04:00,-0.1248438767123371,-0.4349835612522037,0.9800000190734863,2.877000093460083,2.877000093460083,2.877000093460083,6177.0,-4.82258064516129
2022-05-17 00:00:00-04:00,0.9094298533131786,0.5399033755116321,1.0379999876022339,2.9679999351501465,2.9679999351501465,2.9679999351501465,7459.0,-0.431463657484235
2022-05-18 00:00:00-04:00,-3.166354459956703,-3.437327807902199,1.003000020980835,2.885999917984009,2.885999917984009,2.885999917984009,7228.0,-4.49934554973822
2022-05-19 00:00:00-04:00,0.04591020934855091,0.02586057776182786,1.0,2.8550000190734863,2.8550000190734863,2.8550000190734863,8809.0,3.169681309216193
2022-05-20 00:00:00-04:00,-0.6721363392394567,-1.6732545459693513,0.9779999852180481,2.7869999408721924,2.7869999408721924,2.7869999408721924,9098.0,-3.224739540267901
2022-05-21 00:00:00-04:00,,,0.9779999852180481,2.7869999408721924,2.7869999408721924,2.7869999408721924,,
2022-05-22 00:00:00-04:00,,,0.9779999852180481,2.7869999408721924,2.7869999408721924,2.7869999408721924,,
2022-05-23 00:00:00-04:00,1.3861765059103235,1.4089413251765774,0.9929999709129333,2.8589999675750732,2.8589999675750732,2.8589999675750732,11285.0,-3.315561479506831
2022-05-24 00:00:00-04:00,-0.037027217233730036,-0.32131720618861687,1.0429999828338623,2.759999990463257,2.759999990463257,2.759999990463257,11237.0,0.23943902856165553
2022-05-25 00:00:00-04:00,1.2505093783077748,1.802517706591186,1.0449999570846558,2.749000072479248,2.749000072479248,2.749000072479248,9662.0,-0.16900456312320433
2022-05-26 00:00:00-04:00,1.8380763047577828,3.107123881923732,1.027999997138977,2.75600004196167,2.75600004196167,2.75600004196167,12168.0,-1.4621848739495797
2022-05-27 00:00:00-04:00,1.9818931064220537,2.090036236854578,1.024999976158142,2.743000030517578,2.743000030517578,2.743000030517578,14873.0,-1.7184459602368867
2022-05-28 00:00:00-04:00,,,1.024999976158142,2.743000030517578,2.743000030517578,2.743000030517578,,
2022-05-29 00:00:00-04:00,,,1.024999976158142,2.743000030517578,2.743000030517578,2.743000030517578,,
2022-05-30 00:00:00-04:00,,,1.024999976158142,2.743000030517578,2.743000030517578,2.743000030517578,,
2022-05-31 00:00:00-04:00,-0.45626430935400064,-0.3692234993152338,1.0299999713897705,2.8440001010894775,2.8440001010894775,2.8440001010894775,,
2022-06-01 00:00:00-04:00,-1.169936893065085,-1.583876984604464,1.1030000448226929,2.930999994277954,2.930999994277954,2.930999994277954,7625.0,-5.252365930599369
2022-06-02 00:00:00-04:00,1.9878330583871677,3.1544238794299093,1.1130000352859497,2.9130001068115234,2.9130001068115234,2.9130001068115234,6669.0,2.5562891484679193
2022-06-03 00:00:00-04:00,-0.7016143869362099,-0.8090635247567372,1.1349999904632568,2.9570000171661377,2.9570000171661377,2.9570000171661377,6335.0,-2.7013671553286116
2022-06-04 00:00:00-04:00,,,1.1349999904632568,2.9570000171661377,2.9570000171661377,2.9570000171661377,,
2022-06-05 00:00:00-04:00,,,1.1349999904632568,2.9570000171661377,2.9570000171661377,2.9570000171661377,,
2022-06-06 00:00:00-04:00,-0.3214253533960635,-1.1475053500320378,1.159999966621399,3.0380001068115234,3.0380001068115234,3.0380001068115234,9293.0,5.317725752508362
2022-06-07 00:00:00-04:00,1.5674460589224406,2.0486465153786075,1.225000023841858,2.9719998836517334,2.9719998836517334,2.9719998836517334,11270.0,-1.4444444444444444
2022-06-08 00:00:00-04:00,-0.755948628695883,-0.5336332389506373,1.2330000400543213,3.0290000438690186,3.0290000438690186,3.0290000438690186,7937.0,-4.386522568340751
2022-06-09 00:00:00-04:00,-2.0438076379086687,-2.181151008014303,1.2380000352859497,3.0439999103546143,3.0439999103546143,3.0439999103546143,4174.0,-1.2368073878627968
2022-06-10 00:00:00-04:00,-1.8500898790418465,-1.8234216388269768,1.2879999876022339,3.1559998989105225,3.1559998989105225,3.1559998989105225,8031.0,-3.872361642014293
2022-06-11 00:00:00-04:00,,,1.2879999876022339,3.1559998989105225,3.1559998989105225,3.1559998989105225,,
2022-06-12 00:00:00-04:00,,,1.2879999876022339,3.1559998989105225,3.1559998989105225,3.1559998989105225,,
