Date,ETH_USD,DOGE_USD
2019-08-28 00:00:00+00:00,173.8899688720703,0.0025239998940378428
2019-08-29 00:00:00+00:00,169.51673889160156,0.0024500000290572643
2019-08-30 00:00:00+00:00,168.83486938476562,0.0024820000398904085
2019-08-31 00:00:00+00:00,172.46978759765625,0.0025110000278800726
2019-09-01 00:00:00+00:00,171.62942504882812,0.002492000116035342
2019-09-02 00:00:00+00:00,178.34735107421875,0.002595999976620078
2019-09-03 00:00:00+00:00,179.49932861328125,0.0025949999690055847
2019-09-04 00:00:00+00:00,175.99288940429688,0.002689999993890524
2019-09-05 00:00:00+00:00,174.21713256835938,0.0025309999473392963
2019-09-06 00:00:00+00:00,169.9561767578125,0.002509000012651086
2019-09-07 00:00:00+00:00,178.2626190185547,0.002515000058338046
2019-09-08 00:00:00+00:00,181.35552978515625,0.002500999951735139
2019-09-09 00:00:00+00:00,181.1494598388672,0.0024610001128166914
2019-09-10 00:00:00+00:00,179.78717041015625,0.0024369999300688505
2019-09-11 00:00:00+00:00,178.72549438476562,0.0023990001063793898
2019-09-12 00:00:00+00:00,181.01609802246094,0.0024250000715255737
2019-09-13 00:00:00+00:00,181.10972595214844,0.002426000079140067
2019-09-14 00:00:00+00:00,188.1055145263672,0.002440999960526824
2019-09-15 00:00:00+00:00,189.78912353515625,0.002460000105202198
2019-09-16 00:00:00+00:00,197.11317443847656,0.002455000067129731
2019-09-17 00:00:00+00:00,208.60874938964844,0.0026080000679939985
2019-09-18 00:00:00+00:00,211.39303588867188,0.002718999981880188
2019-09-19 00:00:00+00:00,221.28085327148438,0.0027089999057352543
2019-09-20 00:00:00+00:00,218.050048828125,0.002672000089660287
2019-09-21 00:00:00+00:00,215.51620483398438,0.0025859999004751444
2019-09-22 00:00:00+00:00,211.54537963867188,0.0025919999461621046
2019-09-23 00:00:00+00:00,201.9213104248047,0.002486000070348382
2019-09-24 00:00:00+00:00,168.11073303222656,0.0022279999684542418
2019-09-25 00:00:00+00:00,170.8927001953125,0.002196999965235591
2019-09-26 00:00:00+00:00,166.7271270751953,0.0021550001110881567
2019-09-27 00:00:00+00:00,174.71099853515625,0.002220999915152788
2019-09-28 00:00:00+00:00,174.57289123535156,0.002234000014141202
2019-09-29 00:00:00+00:00,170.50347900390625,0.002222999930381775
2019-09-30 00:00:00+00:00,179.87220764160156,0.0023870000150054693
2019-10-01 00:00:00+00:00,177.34042358398438,0.0023880000226199627
2019-10-02 00:00:00+00:00,180.71051025390625,0.0023509999737143517
2019-10-03 00:00:00+00:00,175.1993408203125,0.0023250000085681677
2019-10-04 00:00:00+00:00,176.98500061035156,0.002360000042244792
2019-10-05 00:00:00+00:00,176.3515167236328,0.0023219999857246876
2019-10-06 00:00:00+00:00,173.05914306640625,0.002345999935641885
2019-10-07 00:00:00+00:00,181.18634033203125,0.0023900000378489494
2019-10-08 00:00:00+00:00,182.0215606689453,0.002345999935641885
2019-10-09 00:00:00+00:00,193.2932586669922,0.0023880000226199627
2019-10-10 00:00:00+00:00,191.65966796875,0.0023320000618696213
2019-10-11 00:00:00+00:00,182.56968688964844,0.0023449999280273914
2019-10-12 00:00:00+00:00,180.82664489746094,0.0023399998899549246
2019-10-13 00:00:00+00:00,182.0751495361328,0.0024470000062137842
2019-10-14 00:00:00+00:00,186.96090698242188,0.0025450000539422035
2019-10-15 00:00:00+00:00,181.40606689453125,0.0025100000202655792
2019-10-16 00:00:00+00:00,176.0135040283203,0.002607000060379505
2019-10-17 00:00:00+00:00,178.02835083007812,0.0027550000231713057
2019-10-18 00:00:00+00:00,173.621337890625,0.002706000115722418
2019-10-19 00:00:00+00:00,172.91302490234375,0.002742999931797385
2019-10-20 00:00:00+00:00,175.5343780517578,0.002730000065639615
2019-10-21 00:00:00+00:00,174.92098999023438,0.002773999935016036
2019-10-22 00:00:00+00:00,172.3008575439453,0.0025649999734014273
2019-10-23 00:00:00+00:00,162.4027862548828,0.0024949999060481787
2019-10-24 00:00:00+00:00,162.16854858398438,0.00253800000064075
2019-10-25 00:00:00+00:00,181.52320861816406,0.0026839999482035637
2019-10-26 00:00:00+00:00,179.83547973632812,0.002621999941766262
2019-10-27 00:00:00+00:00,184.24221801757812,0.0026539999525994062
2019-10-28 00:00:00+00:00,182.66281127929688,0.0026459998916834593
2019-10-29 00:00:00+00:00,190.3425750732422,0.0026549999602138996
2019-10-30 00:00:00+00:00,184.69216918945312,0.002615999896079302
2019-10-31 00:00:00+00:00,183.9669189453125,0.0026149998884648085
2019-11-01 00:00:00+00:00,183.9698944091797,0.002630000002682209
2019-11-02 00:00:00+00:00,183.92572021484375,0.002626999979838729
2019-11-03 00:00:00+00:00,182.42501831054688,0.0026370000559836626
2019-11-04 00:00:00+00:00,186.35519409179688,0.0026140001136809587
2019-11-05 00:00:00+00:00,189.30416870117188,0.002623999956995249
2019-11-06 00:00:00+00:00,191.59384155273438,0.0026279999874532223
2019-11-07 00:00:00+00:00,187.97654724121094,0.002725000027567148
2019-11-08 00:00:00+00:00,184.2114715576172,0.002652999944984913
2019-11-09 00:00:00+00:00,185.02871704101562,0.0027129999361932278
2019-11-10 00:00:00+00:00,189.47727966308594,0.0027749999426305294
2019-11-11 00:00:00+00:00,185.48963928222656,0.0027149999514222145
2019-11-12 00:00:00+00:00,186.84341430664062,0.002725000027567148
2019-11-13 00:00:00+00:00,188.2587432861328,0.002698000054806471
2019-11-14 00:00:00+00:00,185.9996337890625,0.00267999991774559
2019-11-15 00:00:00+00:00,180.52117919921875,0.0026569999754428864
